Name,Links to allergen databases,,Source,Group,Routes of exposure,Family
Amb a 6,IUIS,AllergenOnline,Ambrosia_artemisiifolia_(Common_ragweed),Plants,Inhalation,AF050: Prolamin superfamily
Amb a 8,IUIS,AllergenOnline,Ambrosia_artemisiifolia_(Common_ragweed),Plants,Inhalation,AF051: Profilin
Amb a 9,IUIS,AllergenOnline,Ambrosia_artemisiifolia_(Common_ragweed),Plants,Inhalation,AF007: EF hand family
Amb p 5,IUIS,AllergenOnline,Ambrosia_psilostachya_(Western_ragweed),Plants,Inhalation,AF118: Group 5 ragweed allergen
Amb t 5,IUIS,AllergenOnline,Ambrosia_trifida_(Giant_ragweed),Plants,Inhalation,AF118: Group 5 ragweed allergen
Ana c 1,IUIS,AllergenOnline,Ananas_comosus_(Pineapple),Plants,Ingestion,AF051: Profilin
Ana c 2,IUIS,AllergenOnline,Ananas_comosus_(Pineapple),Plants,Ingestion; Inhalation,AF030: Papain-like cysteine protease
Ana o 1,IUIS,AllergenOnline,Anacardium_occidentale_(Cashew),Plants,Ingestion,AF045: Cupin
Ana o 2,IUIS,AllergenOnline,Anacardium_occidentale_(Cashew),Plants,Ingestion,AF045: Cupin
Ana o 3,IUIS,AllergenOnline,Anacardium_occidentale_(Cashew),Plants,Ingestion,AF050: Prolamin superfamily
Ant o 1,IUIS,AllergenOnline,Anthoxanthum_odoratum_(Sweet_vernal_grass),Plants,Inhalation,AF093: Expansin and expansin-like
Ant o expansin,,AllergenOnline,Anthoxanthum_odoratum_(Sweet_vernal_grass),Plants,Inhalation,AF093: Expansin and expansin-like
Api g 1,IUIS,AllergenOnline,Apium_graveolens_(Celery),Plants,Ingestion,AF069: Bet v 1 family
Api g 2,IUIS,AllergenOnline,Apium_graveolens_(Celery),Plants,Ingestion,AF050: Prolamin superfamily
Api g 3,IUIS,,Apium_graveolens_(Celery),Plants,Ingestion,AF176: Chlorophyll A-B binding protein
Api g 4,IUIS,AllergenOnline,Apium_graveolens_(Celery),Plants,Ingestion,AF051: Profilin
Api g 5,IUIS,AllergenOnline,Apium_graveolens_(Celery),Plants,Ingestion,AF099: Berberine bridge enzyme
Api g 6,IUIS,AllergenOnline,Apium_graveolens_(Celery),Plants,Ingestion,AF050: Prolamin superfamily
Ara h 1,IUIS,AllergenOnline,Arachis_hypogaea_(Peanut),Plants,Ingestion,AF045: Cupin
Ara h 10,IUIS,AllergenOnline,Arachis_hypogaea_(Peanut),Plants,Ingestion,AF090: Oleosin
Ara h 11,IUIS,AllergenOnline,Arachis_hypogaea_(Peanut),Plants,Ingestion,AF090: Oleosin
Ara h 12,IUIS,AllergenOnline,Arachis_hypogaea_(Peanut),Plants,Ingestion,AF059: Plant defensin
Ara h 13,IUIS,AllergenOnline,Arachis_hypogaea_(Peanut),Plants,Ingestion,AF059: Plant defensin
Ara h 14,IUIS,,Arachis_hypogaea_(Peanut),Plants,Ingestion,AF090: Oleosin
Ara h 15,IUIS,,Arachis_hypogaea_(Peanut),Plants,Ingestion,AF090: Oleosin
Ara h 16,IUIS,,Arachis_hypogaea_(Peanut),Plants,Ingestion,AF050: Prolamin superfamily
Ara h 17,IUIS,,Arachis_hypogaea_(Peanut),Plants,Ingestion,AF050: Prolamin superfamily
Ara h 2,IUIS,AllergenOnline,Arachis_hypogaea_(Peanut),Plants,Ingestion,AF050: Prolamin superfamily
Ara h 3,IUIS,AllergenOnline,Arachis_hypogaea_(Peanut),Plants,Ingestion,AF045: Cupin
Ara h 5,IUIS,AllergenOnline,Arachis_hypogaea_(Peanut),Plants,Ingestion,AF051: Profilin
Ara h 6,IUIS,AllergenOnline,Arachis_hypogaea_(Peanut),Plants,Ingestion,AF050: Prolamin superfamily
Ara h 7,IUIS,AllergenOnline,Arachis_hypogaea_(Peanut),Plants,Ingestion,AF050: Prolamin superfamily
Ara h 8,IUIS,AllergenOnline,Arachis_hypogaea_(Peanut),Plants,Ingestion,AF069: Bet v 1 family
Ara h 9,IUIS,AllergenOnline,Arachis_hypogaea_(Peanut),Plants,Ingestion,AF050: Prolamin superfamily
Ara h agglutinin,,AllergenOnline,Arachis_hypogaea_(Peanut),Plants,Ingestion,AF034: Legume lectin
Art a defensin,,AllergenOnline,Artemisia_absinthium_(absinthe_wormwood),Plants,Inhalation,AF059: Plant defensin
Art an defensin,,AllergenOnline,Artemisia_annua_(sweet_wormwood),Plants,Inhalation,AF059: Plant defensin
Art c defensin,,AllergenOnline,Artemisia_californica_(California_sagebrush),Plants,Inhalation,AF059: Plant defensin
Art f defensin,,AllergenOnline,Artemisia_frigida_(fringed_sagebrush),Plants,Inhalation,AF059: Plant defensin
Art l defensin,,AllergenOnline,Artemisia_ludoviciana_(silver_wormwood),Plants,Inhalation,AF059: Plant defensin
Art t defensin,,AllergenOnline,Artemisia_tridentata_(big_sagebrush),Plants,Inhalation,AF059: Plant defensin
Art v 1,IUIS,AllergenOnline,Artemisia_vulgaris_(Mugwort),Plants,Inhalation,AF059: Plant defensin
Art v 2,IUIS,AllergenOnline,Artemisia_vulgaris_(Mugwort),Plants,Inhalation,AF044: CAP family
Art v 3,IUIS,AllergenOnline,Artemisia_vulgaris_(Mugwort),Plants,Inhalation,AF050: Prolamin superfamily
Art v 4,IUIS,AllergenOnline,Artemisia_vulgaris_(Mugwort),Plants,Inhalation,AF051: Profilin
Art v 5,IUIS,AllergenOnline,Artemisia_vulgaris_(Mugwort),Plants,Inhalation,AF007: EF hand family
Art v 6,IUIS,AllergenOnline,Artemisia_vulgaris_(Mugwort),Plants,Inhalation,AF073: Pectate lyase
Ber e 1,IUIS,AllergenOnline,Bertholletia_excelsa_(Brazil_nut),Plants,Ingestion,AF050: Prolamin superfamily
Ber e 2,IUIS,AllergenOnline,Bertholletia_excelsa_(Brazil_nut),Plants,Ingestion,AF045: Cupin
Bet pl PR-10,,AllergenOnline,Betula_platyphylla_(Asian_white_birch),Plants,Inhalation,AF069: Bet v 1 family
Bet v 1,IUIS,AllergenOnline,Betula_verrucosa_(Betula_pendula)_(European_white_birch),Plants,Inhalation,AF069: Bet v 1 family
Bet v 2,IUIS,AllergenOnline,Betula_verrucosa_(Betula_pendula)_(European_white_birch),Plants,Inhalation,AF051: Profilin
Bet v 3,IUIS,AllergenOnline,Betula_verrucosa_(Betula_pendula)_(European_white_birch),Plants,Inhalation,AF007: EF hand family
Bet v 4,IUIS,AllergenOnline,Betula_verrucosa_(Betula_pendula)_(European_white_birch),Plants,Inhalation,AF007: EF hand family
Bet v 6,IUIS,AllergenOnline,Betula_verrucosa_(Betula_pendula)_(European_white_birch),Plants,Inhalation,AF123: Isoflavone reductase family
Bet v 7,IUIS,AllergenOnline,Betula_verrucosa_(Betula_pendula)_(European_white_birch),Plants,Inhalation,AF038: Cyclophilin
Bet v GST,,AllergenOnline,Betula_verrucosa_(Betula_pendula)_(European_white_birch),Plants,Inhalation,AF010: Glutathione S-transferase
Beta v 1,IUIS,,Beta_vulgaris_(Sugar_beet),Plants,Inhalation,AF087: Ole e 1 family
Beta v 2,IUIS,,Beta_vulgaris_(Sugar_beet),Plants,Inhalation,AF051: Profilin
Bra j 1,IUIS,AllergenOnline,Brassica_juncea_(Indian_mustard),Plants,Ingestion,AF050: Prolamin superfamily
Bra n 1,IUIS,AllergenOnline,Brassica_napus_(Rape),Plants,Ingestion,AF050: Prolamin superfamily
Bra n polcalcin,,AllergenOnline,Brassica_napus_(Rape),Plants,Inhalation,AF007: EF hand family
Bra o 3,IUIS,AllergenOnline,Brassica_oleracea_(Cabbage),Plants,Ingestion; Inhalation,AF050: Prolamin superfamily
Bra r 1,IUIS,AllergenOnline,Brassica_rapa_(Brassica_campestris)_(Turnip),Plants,Ingestion,AF050: Prolamin superfamily
Bra r 2,IUIS,AllergenOnline,Brassica_rapa_(Brassica_campestris)_(Turnip),Plants,Contact; Ingestion,AF043: Hevein-like and class I/II chitinase
Bra r 5,IUIS,AllergenOnline,Brassica_rapa_(Brassica_campestris)_(Turnip),Plants,Ingestion; Inhalation,AF007: EF hand family
Can s 3,IUIS,AllergenOnline,Cannabis_sativa_(Hemp),Plants,Inhalation,AF050: Prolamin superfamily
Cap a 1,IUIS,AllergenOnline,Capsicum_annuum_(Bell_pepper),Plants,Ingestion,AF060: Thaumatin-like protein
Cap a 2,IUIS,AllergenOnline,Capsicum_annuum_(Bell_pepper),Plants,Ingestion,AF051: Profilin
Car b 1,IUIS,AllergenOnline,Carpinus_betulus_(European_hornbeam),Plants,Inhalation,AF069: Bet v 1 family
Car i 1,IUIS,AllergenOnline,Carya_illinoinensis_(Pecan),Plants,Ingestion,AF050: Prolamin superfamily
Car i 2,IUIS,AllergenOnline,Carya_illinoinensis_(Pecan),Plants,Ingestion,AF045: Cupin
Car i 4,IUIS,AllergenOnline,Carya_illinoinensis_(Pecan),Plants,Ingestion,AF045: Cupin
Car m profilin,,AllergenOnline,Caryota_mitis_(Burmese_fishtail_palm),Plants,Inhalation,AF051: Profilin
Car p papain,,AllergenOnline,Carica_papaya_(Papaya),Plants,Ingestion,AF030: Papain-like cysteine protease
Cas s 1,IUIS,AllergenOnline,Castanea_sativa_(Sweet_chestnut),Plants,Inhalation,AF069: Bet v 1 family
Cas s 5,IUIS,AllergenOnline,Castanea_sativa_(Sweet_chestnut),Plants,Ingestion,AF043: Hevein-like and class I/II chitinase
Cas s 8,IUIS,,Castanea_sativa_(Sweet_chestnut),Plants,Inhalation,AF050: Prolamin superfamily
Cas s 9,IUIS,,Castanea_sativa_(Sweet_chestnut),Plants,Ingestion,AF157: Heat shock protein Hsp20
Cat r 1,IUIS,AllergenOnline,Catharanthus_roseus_(Madagascar_periwinkle),Plants,Inhalation,AF038: Cyclophilin
Cha o 1,IUIS,AllergenOnline,Chamaecyparis_obtusa_(Hinoki_false-cypress),Plants,Inhalation,AF073: Pectate lyase
Cha o 2,IUIS,AllergenOnline,Chamaecyparis_obtusa_(Hinoki_false-cypress),Plants,Inhalation,AF057: Polygalacturonase
Cha o 3,IUIS,,Chamaecyparis_obtusa_(Hinoki_false-cypress),Plants,Inhalation,AF158: Cellulase family A
Che a 1,IUIS,AllergenOnline,Chenopodium_album_(Lamb's-quarters),Plants,Inhalation,AF087: Ole e 1 family
Che a 2,IUIS,AllergenOnline,Chenopodium_album_(Lamb's-quarters),Plants,Inhalation,AF051: Profilin
Che a 3,IUIS,AllergenOnline,Chenopodium_album_(Lamb's-quarters),Plants,Inhalation,AF007: EF hand family
Cit l 3,IUIS,AllergenOnline,Citrus_limon_(Lemon),Plants,Ingestion,AF050: Prolamin superfamily
Cit r 3,IUIS,,Citrus_reticulata_(Tangerine),Plants,Ingestion,AF050: Prolamin superfamily
Cit s 2,IUIS,AllergenOnline,Citrus_sinensis_(Sweet_orange),Plants,Ingestion,AF051: Profilin
Cit s 3,IUIS,AllergenOnline,Citrus_sinensis_(Sweet_orange),Plants,Ingestion,AF050: Prolamin superfamily
Cit s 7,IUIS,,Citrus_sinensis_(Sweet_orange),Plants,Ingestion,AF212: GASA/snakin family
Citr l 2,IUIS,AllergenOnline,Citrullus_lanatus_(watermelon),Plants,Ingestion,AF051: Profilin
Coc n 1,IUIS,,Cocos_nucifera_(Coconut),Plants,Inhalation,AF045: Cupin
Cof a 1,IUIS,AllergenOnline,Coffea_arabica_(Arabian_coffee),Plants,Ingestion; Inhalation,AF077: Chitinase class III and peritrophin-like
Cof a 2,IUIS,AllergenOnline,Coffea_arabica_(Arabian_coffee),Plants,Ingestion; Inhalation,AF209: Metallothionein
Cor a 1,IUIS,AllergenOnline,Corylus_avellana_(European_hazel),Plants,Ingestion; Inhalation,AF069: Bet v 1 family
Cor a 10,IUIS,,Corylus_avellana_(European_hazel),Plants,Inhalation,AF002: Heat shock protein Hsp70
Cor a 11,IUIS,AllergenOnline,Corylus_avellana_(European_hazel),Plants,Ingestion; Inhalation,AF045: Cupin
Cor a 12,IUIS,AllergenOnline,Corylus_avellana_(European_hazel),Plants,Ingestion,AF090: Oleosin
Cor a 13,IUIS,AllergenOnline,Corylus_avellana_(European_hazel),Plants,Ingestion,AF090: Oleosin
Cor a 14,IUIS,AllergenOnline,Corylus_avellana_(European_hazel),Plants,Ingestion,AF050: Prolamin superfamily
Cor a 2,IUIS,AllergenOnline,Corylus_avellana_(European_hazel),Plants,Ingestion; Inhalation,AF051: Profilin
Cor a 6,IUIS,,Corylus_avellana_(European_hazel),Plants,Inhalation,AF123: Isoflavone reductase family
Cor a 8,IUIS,AllergenOnline,Corylus_avellana_(European_hazel),Plants,Ingestion,AF050: Prolamin superfamily
Cor a 9,IUIS,AllergenOnline,Corylus_avellana_(European_hazel),Plants,Ingestion; Inhalation,AF045: Cupin
Cro s 1,IUIS,,Crocus_sativus_(Saffron_crocus),Plants,Inhalation,AF087: Ole e 1 family
Cro s 2,IUIS,AllergenOnline,Crocus_sativus_(Saffron_crocus),Plants,Inhalation,AF051: Profilin
Cry j 1,IUIS,AllergenOnline,Cryptomeria_japonica_(Japanese_cedar),Plants,Inhalation,AF073: Pectate lyase
Cry j 2,IUIS,AllergenOnline,Cryptomeria_japonica_(Japanese_cedar),Plants,Inhalation,AF057: Polygalacturonase
Cry j chitinase,,AllergenOnline,Cryptomeria_japonica_(Japanese_cedar),Plants,Inhalation,AF043: Hevein-like and class I/II chitinase
Cry j IFR,,AllergenOnline,Cryptomeria_japonica_(Japanese_cedar),Plants,Inhalation,AF123: Isoflavone reductase family
Cry j nsLTP,,AllergenOnline,Cryptomeria_japonica_(Japanese_cedar),Plants,Inhalation,AF050: Prolamin superfamily
Cry j pepsin-like,,AllergenOnline,Cryptomeria_japonica_(Japanese_cedar),Plants,Inhalation,AF004: Eukaryotic aspartyl protease
Cry j TLP,,AllergenOnline,Cryptomeria_japonica_(Japanese_cedar),Plants,Inhalation,AF060: Thaumatin-like protein
Cuc m 1,IUIS,AllergenOnline,Cucumis_melo_(Muskmelon),Plants,Ingestion,AF021: Subtilisin-like serine protease
Cuc m 2,IUIS,AllergenOnline,Cucumis_melo_(Muskmelon),Plants,Ingestion,AF051: Profilin
Cuc m 3,IUIS,AllergenOnline,Cucumis_melo_(Muskmelon),Plants,Ingestion,AF044: CAP family
Cup a 1,IUIS,AllergenOnline,Cupressus_arizonica_(Hesperocyparis_arizonica)_(Arizona_cypress),Plants,Inhalation,AF073: Pectate lyase
Cup a polcalcin,,AllergenOnline,Cupressus_arizonica_(Hesperocyparis_arizonica)_(Arizona_cypress),Plants,Inhalation,AF007: EF hand family
Cup a TLP,,AllergenOnline,Cupressus_arizonica_(Hesperocyparis_arizonica)_(Arizona_cypress),Plants,Inhalation,AF060: Thaumatin-like protein
Cup s 1,IUIS,AllergenOnline,Cupressus_sempervirens_(Mediterranean_cypress),Plants,Inhalation,AF073: Pectate lyase
Cup s 3,IUIS,AllergenOnline,Cupressus_sempervirens_(Mediterranean_cypress),Plants,Inhalation,AF060: Thaumatin-like protein
Cyn d 1,IUIS,AllergenOnline,Cynodon_dactylon_(Bermuda_grass),Plants,Inhalation,AF093: Expansin and expansin-like
Cyn d 12,IUIS,AllergenOnline,Cynodon_dactylon_(Bermuda_grass),Plants,Inhalation,AF051: Profilin
Cyn d 15,IUIS,,Cynodon_dactylon_(Bermuda_grass),Plants,Inhalation,AF093: Expansin and expansin-like
Cyn d 24,IUIS,,Cynodon_dactylon_(Bermuda_grass),Plants,Inhalation,AF044: CAP family
Cyn d 7,IUIS,AllergenOnline,Cynodon_dactylon_(Bermuda_grass),Plants,Inhalation,AF007: EF hand family
Cyn d BG60,,AllergenOnline,Cynodon_dactylon_(Bermuda_grass),Plants,Inhalation,AF099: Berberine bridge enzyme
Dac g 1,IUIS,AllergenOnline,Dactylis_glomerata_(Orchard_grass),Plants,Inhalation,AF093: Expansin and expansin-like
Dac g 2,IUIS,AllergenOnline,Dactylis_glomerata_(Orchard_grass),Plants,Inhalation,AF093: Expansin and expansin-like
Dac g 3,IUIS,AllergenOnline,Dactylis_glomerata_(Orchard_grass),Plants,Inhalation,AF093: Expansin and expansin-like
Dac g 4,IUIS,AllergenOnline,Dactylis_glomerata_(Orchard_grass),Plants,Inhalation,AF099: Berberine bridge enzyme
Dac g group 5,,AllergenOnline,Dactylis_glomerata_(Orchard_grass),Plants,Inhalation,AF102: Group 5/6 grass pollen allergen
Dau c 1,IUIS,AllergenOnline,Daucus_carota_(Carrot),Plants,Ingestion,AF069: Bet v 1 family
Dau c 4,IUIS,AllergenOnline,Daucus_carota_(Carrot),Plants,Ingestion,AF051: Profilin
Dau c 5,IUIS,AllergenOnline,Daucus_carota_(Carrot),Plants,Ingestion,AF123: Isoflavone reductase family
Dau c cyclophilin,,AllergenOnline,Daucus_carota_(Carrot),Plants,Ingestion,AF038: Cyclophilin
Fag e 13S globulin,,AllergenOnline,Fagopyrum_esculentum_(Common_buckwheat),Plants,Ingestion,AF045: Cupin
Fag e 2,IUIS,AllergenOnline,Fagopyrum_esculentum_(Common_buckwheat),Plants,Ingestion,AF050: Prolamin superfamily
Fag e 3,IUIS,AllergenOnline,Fagopyrum_esculentum_(Common_buckwheat),Plants,Ingestion,AF045: Cupin
Fag e legumin,,AllergenOnline,Fagopyrum_esculentum_(Common_buckwheat),Plants,Ingestion,AF045: Cupin
Fag s 1,IUIS,AllergenOnline,Fagus_sylvatica_(European_beech),Plants,Inhalation,AF069: Bet v 1 family
Fag t 13S globulin,,AllergenOnline,Fagopyrum_tataricum_(Tartarian_buckwheat),Plants,Ingestion,AF045: Cupin
Fag t 2,IUIS,AllergenOnline,Fagopyrum_tataricum_(Tartarian_buckwheat),Plants,Ingestion,AF050: Prolamin superfamily
Fes a expansin,,AllergenOnline,Festuca_arundinacea_(Tall_fescue),Plants,Inhalation,AF093: Expansin and expansin-like
Fes a group 1,,AllergenOnline,Festuca_arundinacea_(Tall_fescue),Plants,Inhalation,AF093: Expansin and expansin-like
Fra a 1,IUIS,AllergenOnline,Fragaria_ananassa_(Strawberry),Plants,Ingestion,AF069: Bet v 1 family
Fra a 3,IUIS,AllergenOnline,Fragaria_ananassa_(Strawberry),Plants,Ingestion,AF050: Prolamin superfamily
Fra a 4,IUIS,,Fragaria_ananassa_(Strawberry),Plants,Ingestion,AF051: Profilin
Fra e 1,IUIS,AllergenOnline,Fraxinus_excelsior_(European_ash),Plants,Inhalation,AF087: Ole e 1 family
Fra e polcalcin,,AllergenOnline,Fraxinus_excelsior_(European_ash),Plants,Inhalation,AF007: EF hand family
Fra e profilin,,AllergenOnline,Fraxinus_excelsior_(European_ash),Plants,Inhalation,AF051: Profilin
Gly m 1,IUIS,AllergenOnline,Glycine_max_(Soybean),Plants,Ingestion; Inhalation,AF050: Prolamin superfamily
Gly m 3,IUIS,AllergenOnline,Glycine_max_(Soybean),Plants,Ingestion,AF051: Profilin
Gly m 4,IUIS,AllergenOnline,Glycine_max_(Soybean),Plants,Ingestion,AF069: Bet v 1 family
Gly m 5,IUIS,AllergenOnline,Glycine_max_(Soybean),Plants,Ingestion,AF045: Cupin
Gly m 6,IUIS,AllergenOnline,Glycine_max_(Soybean),Plants,Ingestion,AF045: Cupin
Gly m 8,IUIS,AllergenOnline,Glycine_max_(Soybean),Plants,Ingestion,AF050: Prolamin superfamily
Gly m Bd 28K,,AllergenOnline,Glycine_max_(Soybean),Plants,Ingestion,AF045: Cupin
Gly m Kunitz TI,,AllergenOnline,Glycine_max_(Soybean),Plants,Ingestion,AF046: Kunitz soybean trypsin inhibitor family
Gly m P34,,AllergenOnline,Glycine_max_(Soybean),Plants,Ingestion,AF030: Papain-like cysteine protease
Hel a 2,IUIS,AllergenOnline,Helianthus_annuus_(Sunflower),Plants,Inhalation,AF051: Profilin
Hel a 3,IUIS,AllergenOnline,Helianthus_annuus_(Sunflower),Plants,Ingestion,AF050: Prolamin superfamily
Hel a SFA-8,,AllergenOnline,Helianthus_annuus_(Sunflower),Plants,Ingestion,AF050: Prolamin superfamily
Hev b 1,IUIS,AllergenOnline,Hevea_brasiliensis_(Para_rubber_tree),Plants,Contact,AF125: Rubber elongation factor family
Hev b 10,IUIS,AllergenOnline,Hevea_brasiliensis_(Para_rubber_tree),Plants,Contact,AF020: Fe/Mn superoxide dismutase
Hev b 11,IUIS,AllergenOnline,Hevea_brasiliensis_(Para_rubber_tree),Plants,Contact,AF043: Hevein-like and class I/II chitinase
Hev b 12,IUIS,AllergenOnline,Hevea_brasiliensis_(Para_rubber_tree),Plants,Contact,AF050: Prolamin superfamily
Hev b 13,IUIS,AllergenOnline,Hevea_brasiliensis_(Para_rubber_tree),Plants,Contact,AF075: GDSL-hydrolase family
Hev b 14,IUIS,AllergenOnline,Hevea_brasiliensis_(Para_rubber_tree),Plants,Contact,AF077: Chitinase class III and peritrophin-like
Hev b 15,IUIS,AllergenOnline,Hevea_brasiliensis_(Para_rubber_tree),Plants,Contact,AF141: Potato inhibitor I family
Hev b 2,IUIS,AllergenOnline,Hevea_brasiliensis_(Para_rubber_tree),Plants,Contact,"AF063: Beta-1,3-glucanase and X8 domain"
Hev b 3,IUIS,AllergenOnline,Hevea_brasiliensis_(Para_rubber_tree),Plants,Contact,AF125: Rubber elongation factor family
Hev b 4,IUIS,AllergenOnline,Hevea_brasiliensis_(Para_rubber_tree),Plants,Contact,AF075: GDSL-hydrolase family
Hev b 6,IUIS,AllergenOnline,Hevea_brasiliensis_(Para_rubber_tree),Plants,Contact,AF043: Hevein-like and class I/II chitinase
Hev b 7,IUIS,AllergenOnline,Hevea_brasiliensis_(Para_rubber_tree),Plants,Contact,AF104: Patatin family
Hev b 8,IUIS,AllergenOnline,Hevea_brasiliensis_(Para_rubber_tree),Plants,Contact; Inhalation,AF051: Profilin
Hev b 9,IUIS,AllergenOnline,Hevea_brasiliensis_(Para_rubber_tree),Plants,Contact,AF031: Enolase
Hol l 1,IUIS,AllergenOnline,Holcus_lanatus_(Velvet_grass),Plants,Inhalation,AF093: Expansin and expansin-like
Hol l 5,IUIS,AllergenOnline,Holcus_lanatus_(Velvet_grass),Plants,Inhalation,AF102: Group 5/6 grass pollen allergen
Hor v 12,IUIS,,Hordeum_vulgare_(Barley),Plants,Ingestion,AF051: Profilin
Hor v 15,IUIS,AllergenOnline,Hordeum_vulgare_(Barley),Plants,Ingestion; Inhalation,AF050: Prolamin superfamily
Hor v 20,IUIS,AllergenOnline,Hordeum_vulgare_(Barley),Plants,Ingestion,AF050: Prolamin superfamily
Hor v 5,IUIS,,Hordeum_vulgare_(Barley),Plants,Inhalation,AF102: Group 5/6 grass pollen allergen
Hor v CMe,,AllergenOnline,Hordeum_vulgare_(Barley),Plants,Inhalation,AF050: Prolamin superfamily
Hor v nsLTP-1,,AllergenOnline,Hordeum_vulgare_(Barley),Plants,Ingestion; Inhalation,AF050: Prolamin superfamily
Hor v tetrameric AAI,,AllergenOnline,Hordeum_vulgare_(Barley),Plants,Inhalation,AF050: Prolamin superfamily
Hum s profilin,,AllergenOnline,Humulus_scandens_(Hop),Plants,Inhalation,AF051: Profilin
Jug n 1,IUIS,AllergenOnline,Juglans_nigra_(Black_walnut),Plants,Ingestion,AF050: Prolamin superfamily
Jug n 2,IUIS,AllergenOnline,Juglans_nigra_(Black_walnut),Plants,Ingestion,AF045: Cupin
Jug n 4,IUIS,,Juglans_nigra_(Black_walnut),Plants,Ingestion,AF045: Cupin
Jug r 1,IUIS,AllergenOnline,Juglans_regia_(English_walnut),Plants,Ingestion,AF050: Prolamin superfamily
Jug r 2,IUIS,AllergenOnline,Juglans_regia_(English_walnut),Plants,Ingestion,AF045: Cupin
Jug r 3,IUIS,AllergenOnline,Juglans_regia_(English_walnut),Plants,Ingestion,AF050: Prolamin superfamily
Jug r 4,IUIS,AllergenOnline,Juglans_regia_(English_walnut),Plants,Ingestion,AF045: Cupin
Jug r 5,IUIS,,Juglans_regia_(English_walnut),Plants,Ingestion,AF069: Bet v 1 family
Jun a 1,IUIS,AllergenOnline,Juniperus_ashei_(Ashe_juniper),Plants,Inhalation,AF073: Pectate lyase
Jun a 2,IUIS,AllergenOnline,Juniperus_ashei_(Ashe_juniper),Plants,Inhalation,AF057: Polygalacturonase
