"Species_name","Species_nr","German_name","acceptedname","authority","genus","Species","Species.simple","family","subfamily","tribe","subtribe","Species_col","Species_in_status","Species_in_Bioflor","Introduction_status_Seitz2012","Introduction_status_Biolflor","first_evidence","Origin","status_num","clonal_adventitious_buds_on_roots","clonal_bulbs","clonal_epigeogeneous_stems","clonal_hypogeogeneous_stems","clonal_plant_fragments_of_stem_origin","clonal_plantlets_(pseudovivipary)","clonal_rooting_horizontal_stems","clonal_root-splitters","clonal_spacers_above_and_renewal_buds_below_soil_surface","clonal_stem_tubers","clonal_buds_on_leaves_(gemmipary)","reprod_type","LifeF_macrophanero","LifeF_nanophanero","LifeF_hemicrypto","LifeF_geophyte","LifeF_chamae","LifeF_hemiphanero","LifeF_pseudo","LifeF_thero","flower_class","legume","flower_brown","flower_yellow","flower_green","flower_red","flower_white","flower_pink","flower_purple","flower_violet","flower_blue","DispersalUnitLength_mean","LeafArea_mean","LeafNitrogenContent_mean","PlantHeight_mean","PlantMycorrhizalInfection_mean","SeedDryMass_mean","SLA_mean","poll_vect_B","flw_muell","self_poll","insect_poll","wind_poll","cleisto_poll","FunGroup","LifeForm"
"Ajuga genevensis",138,"Genfer Günsel","Ajuga genevensis","L.","Ajuga","Ajuga_genevensis","Ajuga_genevensis","Lamiaceae","Teucrioideae",NA,NA,"Ajuga_genevensis","Ajuga genevensis","Ajuga genevensis","I","I",NA,"Northern-Europe","1",1,0,1,0,0,0,0,0,0,0,0,"ssv",0,0,1,0,0,0,0,0,"Hh",0,0,0,0,0,0,0,0,0,1,2.046,381.7766667,NA,0.155,NA,NA,25.79166667,"se (selfing) [at failure of outcrossing] - in (insects) [the rule]","Hh (bumble bee flowers)Typical pollinators: bumble bees",0,1,0,0,"Forb","Cryptophyte"
"Ambrosia coronopifolia",20068,"Ausdauerndes Traubenkraut","Ambrosia psilostachya","Torr. & A. Gray","Ambrosia","Ambrosia_coronopifolia","Ambrosia_coronopifolia","Asteraceae","Asteroideae","Heliantheae",NA,"Ambrosia_coronopifolia","Ambrosia psilostachya","Ambrosia psilostachya","N","N",1946,"North_America","3",0,0,0,0,0,0,0,1,0,0,0,"vvs",0,0,1,0,0,0,0,0,"W",0,0,1,1,0,0,0,0,0,0,2.75,406.3894205,21.55226531,0.4525,NA,6.527875,15.86563129,"wi (wind) [always]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Forb","Cryptophyte"
"Anchusa officinalis",407,"Gewöhnliche Ochsenzunge","Anchusa officinalis","L.","Anchusa","Anchusa_officinalis","Anchusa_officinalis","Boraginaceae","Boraginoideae","Boragineae","Boragininae","Anchusa_officinalis","Anchusa officinalis","Anchusa officinalis","A","A",NA,"","2",1,0,0,0,0,0,0,1,0,0,0,"s",0,0,1,0,0,0,0,0,"H",0,0,0,0,0,0,0,0,1,0,3.001666667,1383.041667,NA,0.5,NA,4.408571429,23.155,"se (selfing) [possible] - in (insects) [the rule]","H (hymenoptere flowers)Typical pollinators: hymenopteres",0,1,0,0,"Forb","Cryptophyte"
"Anthoxanthum odoratum",465,"Gewöhnliches Ruchgras","Anthoxanthum odoratum","L.","Anthoxanthum","Anthoxanthum_odoratum","Anthoxanthum_odoratum","Poaceae","Pooideae","Poeae","Anthoxanthinae","Anthoxanthum_odoratum","Anthoxanthum odoratum","Anthoxanthum odoratum","I","I",NA,"Northern-Europe","1",0,0,1,1,0,0,0,0,0,0,0,"sv",0,0,1,0,0,0,0,0,"W",0,0,1,0,0,0,0,1,0,0,3.185,750.0270164,20.35698693,0.350757229,70,0.476304255,27.64428997,"wi (wind) [the rule] - se (selfing) [possible]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Grass","Cryptophyte"
"Anthriscus caucalis",467,"Hunds-Kerbel","Anthriscus caucalis","M. Bieb.","Anthriscus","Anthriscus_caucalis","Anthriscus_caucalis","Apiaceae","Apioideae","Scandiceae","Scandicinae","Anthriscus_caucalis","Anthriscus caucalis","Anthriscus caucalis","A","A",NA,"","2",0,0,1,0,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,1,"A",0,0,0,1,0,1,0,0,0,0,3.616,3466.094444,NA,0.3955,NA,1.175061538,34.07214286,"se (selfing) [the rule] - in (insects) [rare]","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees",1,0,0,0,"Forb","Cryptophyte"
"Arabidopsis arenosa subsp. arenosa",32183,"Schmalwand (Unterart), Sand-","Arabidopsis arenosa subsp. arenosa","","Arabidopsis","Arabidopsis_arenosa_subsp._arenosa","Arabidopsis_arenosa","Brassicaceae",NA,"Camelineae",NA,"Arabidopsis_arenosa_subsp._arenosa","Cardaminopsis arenosa","Cardaminopsis arenosa","I","I",NA,"Northern-Europe","1",0,0,0,0,0,0,1,0,0,0,0,"s",0,0,1,0,0,0,0,0,"AB",0,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,"in (insects) [the rule]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",0,1,0,0,"Forb","Cryptophyte"
"Arabidopsis thaliana",512,"Acker-Schmalwand","Arabidopsis thaliana","(L.) Heynh.","Arabidopsis","Arabidopsis_thaliana","Arabidopsis_thaliana","Brassicaceae",NA,"Camelineae",NA,"Arabidopsis_thaliana","Arabidopsis thaliana","Arabidopsis thaliana","A","A",NA,"","2",0,0,0,0,0,0,0,1,0,0,0,"s",0,0,1,0,0,0,0,1,"AB",0,0,0,0,0,1,0,0,0,0,0.446666667,110.3750469,36.43924695,0.17625,10,0.036807027,32.88970161,"se (selfing) [the rule] - in (insects) [rare]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,0,0,0,"Forb","Cryptophyte"
"Arenaria serpyllifolia",13703,"Quendelblättriges Sandkraut","Arenaria serpyllifolia","Bourg. ex Willk. & Lange","Arenaria","Arenaria_serpyllifolia","Arenaria_serpyllifolia","Caryophyllaceae",NA,"Arenarieae",NA,"Arenaria_serpyllifolia","Arenaria serpyllifolia","Arenaria serpyllifolia","I","I",NA,"Northern-Europe","1",0,0,0,0,0,0,0,1,0,0,0,"s",0,0,1,0,0,0,0,1,"AB",0,0,0,0,0,1,0,0,0,0,0.51,9.668476447,10.17717,0.118142857,10,0.070098333,20.88462238,"se (selfing) [the rule] - in (insects) [rare]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,0,0,0,"Forb","Cryptophyte"
"Armeria maritima subsp. elongata",20584,"Sand-Grasnelke","Armeria vulgaris","Bonnier","Armeria","Armeria_maritima_subsp._elongata","Armeria_maritima","Plumbaginaceae",NA,NA,NA,"Armeria_maritima_subsp._elongata","Armeria maritima","Armeria elongata","I","I",NA,"Northern-Europe","1",1,0,0,1,0,0,0,0,0,0,0,"ssv",0,0,1,0,1,0,0,0,"B`",0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Forb","Cryptophyte"
"Arrhenatherum elatius",587,"Glatthafer","Arrhenatherum elatius","(L.) P. Beauv. ex J. Presl & C. Presl","Arrhenatherum","Arrhenatherum_elatius","Arrhenatherum_elatius","Poaceae","Pooideae","Poeae","Aveninae","Arrhenatherum_elatius","Arrhenatherum elatius","Arrhenatherum elatius","N","I",1787,"Europe","1",0,1,0,1,0,0,0,0,0,1,0,"ssv",0,0,1,0,0,0,0,0,"W",0,0,0,1,0,0,0,0,0,0,8.11,1463.646111,31.37171024,0.930105303,70,2.818823277,29.05534257,"wi (wind) [always] - se (selfing) [rare]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Grass","Cryptophyte"
"Artemisia campestris",596,"Feld-Beifuß","Artemisia campestris","L.","Artemisia","Artemisia_campestris","Artemisia_campestris","Asteraceae","Asteroideae","Anthemideae","Artemisiinae","Artemisia_campestris","Artemisia campestris","Artemisia campestris","I","I",NA,"Northern-Europe","1",1,0,0,0,0,0,0,1,0,0,0,"s",0,0,1,0,1,0,0,0,"Wb",0,0,1,0,1,0,0,0,0,0,1.256,202.2953846,20.47666667,0.367083333,70,0.121473684,17.88983396,"wi (wind) [the rule]","Wb (wind flowers occassionally visited by insect)Typical pollinators: Short tongued bees, syrphids, flies, beetles",0,0,1,0,"Forb","Cryptophyte"
"Artemisia vulgaris",618,"Gewöhnlicher Beifuß","Artemisia vulgaris","L.","Artemisia","Artemisia_vulgaris","Artemisia_vulgaris","Asteraceae","Asteroideae","Anthemideae","Artemisiinae","Artemisia_vulgaris","Artemisia vulgaris","Artemisia vulgaris","I","I",NA,"Northern-Europe","1",1,0,0,0,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,0,"Wb",0,0,1,0,1,0,0,0,0,0,1.385,2433.006727,26.51924,1.048546015,70,0.158688889,19.4178727,"wi (wind) [the rule]","Wb (wind flowers occassionally visited by insect)Typical pollinators: Short tongued bees, syrphids, flies, beetles",0,0,1,0,"Forb","Cryptophyte"
"Berteroa incana",819,"Graukresse","Berteroa incana","(L.) DC.","Berteroa","Berteroa_incana","Berteroa_incana","Brassicaceae",NA,"Alysseae",NA,"Berteroa_incana","Berteroa incana","Berteroa incana","N","N",1787,"West_Asia","3",0,0,0,0,0,0,0,1,0,0,0,"s",0,0,1,0,0,0,0,1,"AB",0,0,0,0,0,1,0,0,0,0,1.725,155.9192308,18.9128778,0.471818182,NA,0.488916667,19.93557775,"se (selfing) [often] - in (insects) [the rule]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,1,0,0,"Forb","Cryptophyte"
"Bromus hordeaceus",896,"Weiche Trespe","Bromus hordeaceus","L.","Bromus","Bromus_hordeaceus","Bromus_hordeaceus","Poaceae","Pooideae","Bromeae",NA,"Bromus_hordeaceus","Bromus hordeaceus","Bromus hordeaceus","I","I",NA,"Northern-Europe","1",0,0,1,0,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,1,"W",0,0,1,0,0,0,0,0,0,0,10.12727273,290.6174777,27.26791278,0.23129011,70,2.355209605,21.25104212,"wi (wind) [possible] - se (selfing) [the rule] - kl (cleistogamy) [the rule]","W (wind flowers)Typical pollinators: -",1,0,0,1,"Grass","Cryptophyte"
"Bromus inermis",903,"Unbegrannte Trespe","Bromus inermis","Leyss.","Bromus","Bromus_inermis","Bromus_inermis","Poaceae","Pooideae","Bromeae",NA,"Bromus_inermis","Bromus inermis","Bromus inermis","N","I",1787,"Circumpolar,Europe","1",0,0,1,1,0,0,0,0,0,0,0,"sv",0,0,1,0,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,9.4,1233.41886,22.10241648,0.801767956,NA,2.896686204,20.06216096,"wi (wind) [always]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Grass","Cryptophyte"
"Bromus sterilis",920,"Taube Trespe","Bromus sterilis","L.","Bromus","Bromus_sterilis","Bromus_sterilis","Poaceae","Pooideae","Bromeae",NA,"Bromus_sterilis","Bromus sterilis","Bromus sterilis","A","A",NA,"","2",0,0,1,0,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,1,"W",0,0,1,0,0,0,0,0,0,0,23.96538462,1187.758897,31.589968,0.44574458,NA,6.483117647,33.14649253,"se (selfing) [the rule] - kl (cleistogamy) [the rule]","W (wind flowers)Typical pollinators: -",1,0,0,1,"Grass","Cryptophyte"
"Bromus tectorum",921,"Dach-Trespe","Bromus tectorum","L.","Bromus","Bromus_tectorum","Bromus_tectorum","Poaceae","Pooideae","Bromeae",NA,"Bromus_tectorum","Bromus tectorum","Bromus tectorum","A","A",NA,"","2",0,0,1,0,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,1,"W",0,0,1,0,0,0,0,0,0,0,14.86785714,238.5650979,20.47857143,0.242349814,NA,2.847330949,20.70579487,"wi (wind) [rare] - se (selfing) [the rule] - kl (cleistogamy) [the rule]","W (wind flowers)Typical pollinators: -",1,0,0,1,"Grass","Cryptophyte"
"Calamagrostis epigejos",971,"Land-Reitgras","Calamagrostis epigejos","(L.) Roth","Calamagrostis","Calamagrostis_epigejos","Calamagrostis_epigejos","Poaceae","Pooideae","Poeae","Agrostidinae","Calamagrostis_epigejos","Calamagrostis epigejos","Calamagrostis epigejos","I","I",NA,"Northern-Europe","1",0,0,1,1,0,0,0,0,0,0,0,"sv",0,0,0,1,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,2.026,2054.751582,13.12887967,1.088333333,70,0.065083333,22.18027655,"wi (wind) [always]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Grass","Cryptophyte"
"Campanula rapunculus",1055,"Rapunzel-Glockenblume","Campanula patula var. rapunculus","L.","Campanula","Campanula_rapunculus","Campanula_rapunculus","Campanulaceae",NA,NA,NA,"Campanula_rapunculus","Campanula rapunculus","Campanula rapunculus","N","I",1859,"Europe","1",0,0,0,1,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,0,"Hb",0,0,0,0,0,0,0,0,1,0,0.403333333,746.10376,32.90423333,0.478571429,NA,0.031111111,38.37214769,"in (insects) [the rule]","Hb (bee flowers )Typical pollinators: bees",0,1,0,0,"Forb","Cryptophyte"
"Capsella bursa.pastoris",1091,"Gewöhnliches Hirtentäschel","Capsella bursa-pastoris","(L.) Medik.","Capsella","Capsella_bursa.pastoris","Capsella_bursa.pastoris","Brassicaceae",NA,"Camelineae",NA,"Capsella_bursa.pastoris","Capsella bursa-pastoris","Capsella bursa-pastoris","A","A",NA,"","2",0,0,0,0,0,0,0,1,0,0,0,"s",0,0,1,0,0,0,0,1,"AB",0,0,0,0,0,1,0,0,0,0,0.951428571,1010.393256,37.61035833,0.252959559,10,0.120740833,30.65054686,"se (selfing) [the rule] - in (insects) [possible]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,0,0,0,"Forb","Cryptophyte"
"Cardamine hirsuta",1100,"Behaartes Schaumkraut","Cardamine hirsuta","L.","Cardamine","Cardamine_hirsuta","Cardamine_hirsuta","Brassicaceae",NA,"Cardamineae",NA,"Cardamine_hirsuta","Cardamine hirsuta","Cardamine hirsuta","N","I",1843,"Europe, WestAsia","1",0,0,0,1,0,0,0,0,0,0,0,"sv",0,0,1,0,0,0,0,1,"AB",0,0,0,0,0,1,0,0,0,0,1,156.179585,16.28593917,0.154553846,10,0.111681481,26.26621475,"se (selfing) [the rule] - in (insects) [possible]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,0,0,0,"Forb","Cryptophyte"
"Carex arenaria",1160,"Sand-Segge","Carex arenaria","L.","Carex","Carex_arenaria","Carex_arenaria","Cyperaceae","Cyperoideae","Cariceae",NA,"Carex_arenaria","Carex arenaria","Carex arenaria","I","I",NA,"Northern-Europe","1",0,0,0,1,0,0,0,0,0,0,0,"vvs",0,0,0,1,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,3.675555556,449.4158877,19.91130683,0.277925,10,0.921443478,15.84658771,"wi (wind) [always] - se (selfing) [rare]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Forb","Cryptophyte"
"Carex caryophyllea",1188,"Frühlings-Segge","Carex caryophyllea","Latourr.","Carex","Carex_caryophyllea","Carex_caryophyllea","Cyperaceae","Cyperoideae","Cariceae",NA,"Carex_caryophyllea","Carex caryophyllea","Carex caryophyllea","I","I",NA,"Northern-Europe","1",0,0,1,1,0,0,0,0,0,0,0,"sv",0,0,0,1,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,2.261111111,351.75,18.03809524,0.150645101,10,1.032816667,21.28749453,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Forb","Cryptophyte"
"Carex hirta",1233,"Behaarte Segge","Carex hirta","L.","Carex","Carex_hirta","Carex_hirta","Cyperaceae","Cyperoideae","Cariceae",NA,"Carex_hirta","Carex hirta","Carex hirta","I","I",NA,"Northern-Europe","1",0,0,0,1,0,0,0,0,0,0,0,"sv",0,0,0,1,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,5.09375,1141.21625,22.5694777,0.306836957,10,2.383235294,18.50496477,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Forb","Cryptophyte"
"Carex ligerica",1161,"Französische Segge","Carex ligerica","J. Gay","Carex","Carex_ligerica","Carex_ligerica","Cyperaceae","Cyperoideae","Cariceae",NA,"Carex_ligerica","Carex ligerica","Carex ligerica","I","I",NA,"Northern-Europe","1",0,0,0,1,0,0,0,0,0,0,0,"sv",0,0,0,1,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,3.302,276.2233333,NA,0.205,NA,0.87,16.5,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Forb","Cryptophyte"
"Carex praecox",14151,"Frühe Segge","Vignea praecox","Schreb.","Carex","Carex_praecox","Carex_praecox","Cyperaceae","Cyperoideae","Cariceae",NA,"Carex_praecox","Carex praecox","Carex praecox","I","I",NA,"Northern-Europe","1",0,0,0,1,0,0,0,0,0,0,0,"sv",0,0,0,1,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,2.52,NA,NA,0.205,NA,NA,16.05,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Forb","Cryptophyte"
"Carex spicata",1253,"Stachel-Segge","Carex spicata","Huds.","Carex","Carex_spicata","Carex_spicata","Cyperaceae","Cyperoideae","Cariceae",NA,"Carex_spicata","Carex spicata","Carex spicata","I","I",NA,"Northern-Europe","1",0,0,1,0,0,0,0,0,0,0,0,"ssv",0,0,1,0,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,4.291428571,309.7555556,NA,0.38125,10,2.248536364,21.02222222,"wi (wind) [always]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Forb","Cryptophyte"
"Centaurea jacea",1347,"Wiesen-Flockenblume","Centaurea jacea","L.","Centaurea","Centaurea_jacea","Centaurea_jacea","Asteraceae","Carduoideae","Cardueae","Centaureinae","Centaurea_jacea","Centaurea jacea","Centaurea jacea","I","I",NA,"Northern-Europe","1",0,0,1,1,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,0,"B`",0,0,0,0,0,0,0,1,0,0,3.242857143,879.3345062,24.62191756,0.558240838,NA,1.3622,20.09701294,"in (insects) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",0,1,0,0,"Forb","Cryptophyte"
"Centaurea stoebe",25004,"Rispen-Flockenblume","Centaurea stoebe","L.","Centaurea","Centaurea_stoebe","Centaurea_stoebe","Asteraceae","Carduoideae","Cardueae","Centaureinae","Centaurea_stoebe","Centaurea stoebe","Centaurea stoebe","I","I",NA,"Northern-Europe","1",1,0,0,0,0,0,0,1,0,0,0,"s",0,0,1,0,0,0,0,0,"B`",0,0,0,0,0,0,0,1,0,0,4.206666667,362.937619,NA,0.688977273,NA,2.21125,18.46607235,"in (insects) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",0,1,0,0,"Forb","Cryptophyte"
"Cerastium arvense",1431,"Acker-Hornkraut","Cerastium arvense","L.","Cerastium","Cerastium_arvense","Cerastium_arvense","Caryophyllaceae",NA,"Alsineae",NA,"Cerastium_arvense","Cerastium arvense","Cerastium arvense","I","I",NA,"Northern-Europe","1",0,0,1,1,0,0,0,0,0,0,0,"sv",0,0,0,0,1,0,0,0,"AB",0,0,0,0,0,1,0,0,0,0,0.836666667,29.25282051,29.59,0.137264957,10,0.204586667,20.27469097,"se (selfing) [at failure of outcrossing] - in (insects) [the rule]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",0,1,0,0,"Forb","Chamaephyte"
"Cerastium glomeratum",1453,"Knäuel-Hornkraut","Cerastium glomeratum","Thuill.","Cerastium","Cerastium_glomeratum","Cerastium_glomeratum","Caryophyllaceae",NA,"Alsineae",NA,"Cerastium_glomeratum","Cerastium glomeratum","Cerastium glomeratum","I","I",NA,"Northern-Europe","1",0,0,0,0,0,0,0,1,0,0,0,"s",0,0,1,0,0,0,0,1,"AB",0,0,0,0,0,1,0,0,0,0,0.518,141.1799346,21.26677625,0.183219355,NA,0.0597428,24.11788222,"se (selfing) [the rule]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,0,0,0,"Forb","Cryptophyte"
