"","Species","Species_name","Species_acceptedname","family","subfamily","Frequency","allergen_score_old","allergenicity_anecdotal","allergen_score_corrected","IUIS.record","SDAP.record","AllFam.record","Allergenonline.record","Allergome.record","additional_ref","react.europe.Allergome","FDA","allergenicity_strict","ref_severity","Comment_severity","allergen_score","Flowering_beg","Flowering_end","Pollen_dispersal","Source","Species.match","Genus","allergenicity","database.record","severe.all","Freq.rural","Freq.suburb","Freq.urban","Introduction_status_Seitz2012","Origin","status_num","first_evidence","SLA_mean","PlantHeight_mean","SeedDryMass_mean","poll_vect_B","flw_muell","FunGroup","LifeForm","fl.beg","fl.end","fl.period","resident","native","exotic","neophyte","molecule.unknown","allergenicity.broad","known.mols","known.allfam","phenology_score","main.pollination","pollen_score","PAV","anemophilous"
"Arabidopsis_arenosa_subsp._arenosa","Arabidopsis_arenosa_subsp._arenosa","Arabidopsis arenosa subsp. arenosa","Arabidopsis_arenosa_subsp._arenosa","Brassicaceae",NA,1,0,0,1,0,0,0,0,0,1,"",NA,0,"Chardin 2013","(reference for A. thaliana) - extended for the genus",1,"April","August","Insects","BioFlor- 2018","Arabidopsis_arenosa_subsp._arenosa","Arabidopsis",1,FALSE,0,0,0,1,"I","Northern-Europe",1,NA,NA,NA,NA,"in (insects) [the rule]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees","Forb","Cryptophyte",4,8,4,1,1,0,0,0,1,4,4,3,"insects",1,3,0
"Arabidopsis_thaliana","Arabidopsis_thaliana","Arabidopsis thaliana","Arabidopsis_thaliana","Brassicaceae",NA,28,0,1,1,0,1,0,0,1,1,NA,NA,1,"Chardin 2003","possible allergen only",1,"April","May","Selfing, insects","BioFlor- 2018","Arabidopsis_thaliana","Arabidopsis",1,TRUE,0,12,8,8,"A","",2,NA,32.88970161,0.17625,0.036807027,"se (selfing) [the rule] - in (insects) [rare]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees","Forb","Cryptophyte",4,5,1,1,0,1,0,0,1,4,4,1,"insects-selfing",1,1,0
"Arenaria_serpyllifolia","Arenaria_serpyllifolia","Arenaria serpyllifolia","Arenaria_serpyllifolia","Caryophyllaceae",NA,32,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"May","September","Selfing, insects","BioFlor- 2018","Arenaria_serpyllifolia","Arenaria",0,FALSE,0,10,7,15,"I","Northern-Europe",1,NA,20.88462238,0.118142857,0.070098333,"se (selfing) [the rule] - in (insects) [rare]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees","Forb","Cryptophyte",5,9,4,1,1,0,0,0,0,0,0,3,"insects-selfing",1,0,0
"Armeria_maritima_subsp._elongata","Armeria_maritima_subsp._elongata","Armeria maritima subsp. elongata","Armeria_vulgaris","Plumbaginaceae",NA,7,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"May","November","Selfing, insects","BioFlor- 2018","Armeria_maritima_subsp._elongata","Armeria",0,FALSE,0,0,3,4,"I","Northern-Europe",1,NA,NA,NA,NA,NA,NA,"Forb","Cryptophyte",5,11,6,1,1,0,0,0,0,0,0,3,"selfing",0,0,0
"Arrhenatherum_elatius","Arrhenatherum_elatius","Arrhenatherum elatius","Arrhenatherum_elatius","Poaceae","Pooideae",9,1,1,3,0,0,0,0,1,1,NA,663,1,"Weber 2004","cross-reactivity with other Pooideae",3,"June","October","Wind, selfing","BioFlor- 2018","Arrhenatherum_elatius","Arrhenatherum",1,TRUE,1,3,2,4,"N","Europe",3,1787,29.05534257,0.930105303,2.818823277,"wi (wind) [always] - se (selfing) [rare]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",6,10,4,0,0,1,1,0,1,5,5,3,"wind",3,27,1
"Artemisia_campestris","Artemisia_campestris","Artemisia campestris","Artemisia_campestris","Asteraceae","Asteroideae",23,3,1,4,0,0,0,0,0,1,"",1273,1,"Weber 2003; D'amato 2007","cross-reactivity with other artemisia species",4,"August","October","Wind","BioFlor- 2018","Artemisia_campestris","Artemisia",1,FALSE,1,8,10,5,"I","Northern-Europe",1,NA,17.88983396,0.367083333,0.121473684,"wi (wind) [the rule]","Wb (wind flowers occassionally visited by insect)Typical pollinators: Short tongued bees, syrphids, flies, beetles","Forb","Cryptophyte",8,10,2,1,1,0,0,0,1,8,8,2,"wind",3,24,1
"Artemisia_vulgaris","Artemisia_vulgaris","Artemisia vulgaris","Artemisia_vulgaris","Asteraceae","Asteroideae",6,3,1,4,1,1,1,1,1,1,"15%",1145,1,"Weber 2004","Classified as a major allergen in Europe, with sensitivisation rates of 10-15%. Cross reactivity with Ambrosia (partial) and other Artemisia species (very high). No clear info on patient reactivity.",4,"July","November","Wind","BioFlor- 2018","Artemisia_vulgaris","Artemisia",1,TRUE,1,1,3,2,"I","Northern-Europe",1,NA,19.4178727,1.048546015,0.158688889,"wi (wind) [the rule]","Wb (wind flowers occassionally visited by insect)Typical pollinators: Short tongued bees, syrphids, flies, beetles","Forb","Cryptophyte",7,11,4,1,1,0,0,0,1,8,7,3,"wind",3,36,1
"Berteroa_incana","Berteroa_incana","Berteroa incana","Berteroa_incana","Brassicaceae",NA,35,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"June","October","Selfing, insects","BioFlor- 2018","Berteroa_incana","Berteroa",0,FALSE,0,9,16,10,"N","West_Asia",3,1787,19.93557775,0.471818182,0.488916667,"se (selfing) [often] - in (insects) [the rule]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees","Forb","Cryptophyte",6,10,4,0,0,1,1,0,0,0,0,3,"insects",1,0,0
"Bromus_hordeaceus","Bromus_hordeaceus","Bromus hordeaceus","Bromus_hordeaceus","Poaceae","Pooideae",16,3,1,3,0,0,0,0,0,1,"",617,1,"Weber 2004","cross-reactivity with other Pooideae, Poeae grasses, genus Bromus",3,"May","August","Wind, selfing, cleistogamy","BioFlor- 2018","Bromus_hordeaceus","Bromus",1,FALSE,1,6,7,3,"I","Northern-Europe",1,NA,21.25104212,0.23129011,2.355209605,"wi (wind) [possible] - se (selfing) [the rule] - kl (cleistogamy) [the rule]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",5,8,3,1,1,0,0,0,1,8,7,3,"cleistogamy",1,9,0
"Bromus_inermis","Bromus_inermis","Bromus inermis","Bromus_inermis","Poaceae","Pooideae",6,2,1,3,0,0,0,0,1,1,"40%",614,1,"Weber 2004","cross-reactivity with other Pooideae",3,"June","July","Wind","BioFlor- 2018","Bromus_inermis","Bromus",1,TRUE,1,2,1,3,"N","Circumpolar,Europe",3,1787,20.06216096,0.801767956,2.896686204,"wi (wind) [always]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",6,7,1,0,0,1,1,0,1,8,7,1,"wind",3,9,1
"Bromus_sterilis","Bromus_sterilis","Bromus sterilis","Bromus_sterilis","Poaceae","Pooideae",4,2,1,3,0,0,0,0,0,1,"",NA,1,"Weber 2004","cross-reactivity with other Pooideae, Poeae grasses, genus Bromus",3,"May","June","Selfing, cleistogamy","BioFlor- 2018","Bromus_sterilis","Bromus",1,FALSE,1,2,2,0,"A","",2,NA,33.14649253,0.44574458,6.483117647,"se (selfing) [the rule] - kl (cleistogamy) [the rule]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",5,6,1,1,0,1,0,0,1,8,7,1,"cleistogamy",1,3,0
"Bromus_tectorum","Bromus_tectorum","Bromus tectorum","Bromus_tectorum","Poaceae","Pooideae",4,1,1,3,0,0,0,0,0,1,"",NA,1,"Weber 2004; 2015","cross-reactivity with other Pooideae, Poeae grasses, genus Bromus",3,"May","June","Wind, selfing, cleistogamy","BioFlor- 2018","Bromus_tectorum","Bromus",1,FALSE,1,1,3,0,"A","",2,NA,20.70579487,0.242349814,2.847330949,"wi (wind) [rare] - se (selfing) [the rule] - kl (cleistogamy) [the rule]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",5,6,1,1,0,1,0,0,1,8,7,1,"cleistogamy",1,3,0
"Calamagrostis_epigejos","Calamagrostis_epigejos","Calamagrostis epigejos","Calamagrostis_epigejos","Poaceae","Pooideae",23,1,1,3,0,0,0,0,0,1,"",NA,1,"Weber 2004","cross-reactivity with other Pooideae",3,"July","August","Wind","BioFlor- 2018","Calamagrostis_epigejos","Calamagrostis",1,FALSE,1,8,9,6,"I","Northern-Europe",1,NA,22.18027655,1.088333333,0.065083333,"wi (wind) [always]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",7,8,1,1,1,0,0,0,1,5,5,1,"wind",3,9,1
"Campanula_rapunculus","Campanula_rapunculus","Campanula rapunculus","Campanula_patula_var._rapunculus","Campanulaceae",NA,1,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"June","August","Insects","BioFlor- 2018","Campanula_rapunculus","Campanula",0,FALSE,0,0,1,0,"N","Europe",3,1859,38.37214769,0.478571429,0.031111111,"in (insects) [the rule]","Hb (bee flowers )Typical pollinators: bees","Forb","Cryptophyte",6,8,2,0,0,1,1,0,0,0,0,2,"insects",1,0,0
"Capsella_bursa.pastoris","Capsella_bursa.pastoris","Capsella bursa-pastoris","Capsella_bursa-pastoris","Brassicaceae",NA,3,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"January","December","Selfing, insects","BioFlor- 2018","Capsella_bursa.pastoris","Capsella",0,FALSE,0,2,0,1,"A","",2,NA,30.65054686,0.252959559,0.120740833,"se (selfing) [the rule] - in (insects) [possible]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees","Forb","Cryptophyte",1,12,11,1,0,1,0,0,0,0,0,3,"insects-selfing",1,0,0
"Cardamine_hirsuta","Cardamine_hirsuta","Cardamine hirsuta","Cardamine_hirsuta","Brassicaceae",NA,4,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"March","June","Selfing, insects","BioFlor- 2018","Cardamine_hirsuta","Cardamine",0,FALSE,0,1,1,2,"N","Europe, WestAsia",3,1843,26.26621475,0.154553846,0.111681481,"se (selfing) [the rule] - in (insects) [possible]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees","Forb","Cryptophyte",3,6,3,0,0,1,1,0,0,0,0,3,"insects-selfing",1,0,0
"Carex_arenaria","Carex_arenaria","Carex arenaria","Carex_arenaria","Cyperaceae","Cyperoideae",4,0,1,1,0,0,0,0,0,1,"",1251,1,"Weber 1985","Sedges are expected to be allergenic, but only little support yet.  FDA : """"no supporting data collected""""; no cross-reactivity with poaceae",1,"May","October","Wind, selfing","BioFlor- 2018","Carex_arenaria","Carex",1,FALSE,0,2,2,0,"I","Northern-Europe",1,NA,15.84658771,0.277925,0.921443478,"wi (wind) [always] - se (selfing) [rare]","W (wind flowers)Typical pollinators: -","Forb","Cryptophyte",5,10,5,1,1,0,0,1,1,0,0,3,"wind",3,9,1
"Carex_caryophyllea","Carex_caryophyllea","Carex caryophyllea","Carex_caryophyllea","Cyperaceae","Cyperoideae",1,0,1,1,0,0,0,0,0,1,"",1251,1,"Weber 1985","Sedges are expected to be allergenic, but only little support yet.  FDA : """"no supporting data collected""""; no cross-reactivity with poaceae",1,"April","May","Wind","BioFlor- 2020","Carex_caryophyllea","Carex",1,FALSE,0,0,1,0,"I","Northern-Europe",1,NA,21.28749453,0.150645101,1.032816667,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -","Forb","Cryptophyte",4,5,1,1,1,0,0,1,1,0,0,1,"wind",3,3,1
"Carex_hirta","Carex_hirta","Carex hirta","Carex_hirta","Cyperaceae","Cyperoideae",17,1,1,1,0,0,0,0,0,1,"",1251,1,"Weber 1985","Sedges are expected to be allergenic, but only little support yet.  FDA : """"no supporting data collected""""; no cross-reactivity with poaceae",1,"May","June","Wind","BioFlor- 2018","Carex_hirta","Carex",1,FALSE,0,4,9,4,"I","Northern-Europe",1,NA,18.50496477,0.306836957,2.383235294,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -","Forb","Cryptophyte",5,6,1,1,1,0,0,1,1,0,0,1,"wind",3,3,1
"Carex_ligerica","Carex_ligerica","Carex ligerica","Carex_ligerica","Cyperaceae","Cyperoideae",1,0,1,1,0,0,0,0,0,1,"",1251,1,"Weber 1985","Sedges are expected to be allergenic, but only little support yet.  FDA : """"no supporting data collected""""; no cross-reactivity with poaceae",1,"April","May","Wind","BioFlor- 2020","Carex_ligerica","Carex",1,FALSE,0,0,1,0,"I","Northern-Europe",1,NA,16.5,0.205,0.87,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -","Forb","Cryptophyte",4,5,1,1,1,0,0,1,1,0,0,1,"wind",3,3,1
"Carex_praecox","Carex_praecox","Carex praecox","Vignea_praecox","Cyperaceae","Cyperoideae",5,0,1,1,0,0,0,0,0,1,"",1251,1,"Weber 1985","Sedges are expected to be allergenic, but only little support yet.  FDA : """"no supporting data collected""""; no cross-reactivity with poaceae",1,"April","June","Wind","BioFlor- 2018","Carex_praecox","Carex",1,FALSE,0,2,3,0,"I","Northern-Europe",1,NA,16.05,0.205,NA,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -","Forb","Cryptophyte",4,6,2,1,1,0,0,1,1,0,0,2,"wind",3,6,1
"Carex_spicata","Carex_spicata","Carex spicata","Carex_spicata","Cyperaceae","Cyperoideae",1,0,1,1,0,0,0,0,0,1,"",1251,1,"Weber 1985","Sedges are expected to be allergenic, but only little support yet.  FDA : """"no supporting data collected""""; no cross-reactivity with poaceae",1,"May","June","Wind","BioFlor- 2018","Carex_spicata","Carex",1,FALSE,0,0,0,1,"I","Northern-Europe",1,NA,21.02222222,0.38125,2.248536364,"wi (wind) [always]","W (wind flowers)Typical pollinators: -","Forb","Cryptophyte",5,6,1,1,1,0,0,1,1,0,0,1,"wind",3,3,1
"Centaurea_jacea","Centaurea_jacea","Centaurea jacea","Centaurea_jacea","Asteraceae","Carduoideae",1,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"June","November","Insects","BioFlor- 2018","Centaurea_jacea","Centaurea",0,FALSE,0,0,1,0,"I","Northern-Europe",1,NA,20.09701294,0.558240838,1.3622,"in (insects) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids","Forb","Cryptophyte",6,11,5,1,1,0,0,0,0,0,0,3,"insects",1,0,0
"Centaurea_stoebe","Centaurea_stoebe","Centaurea stoebe","Centaurea_stoebe","Asteraceae","Carduoideae",20,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"July","September","Insects","BioFlor- 2018","Centaurea_stoebe","Centaurea",0,FALSE,0,3,6,11,"I","Northern-Europe",1,NA,18.46607235,0.688977273,2.21125,"in (insects) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids","Forb","Cryptophyte",7,9,2,1,1,0,0,0,0,0,0,2,"insects",1,0,0
"Cerastium_arvense","Cerastium_arvense","Cerastium arvense","Cerastium_arvense","Caryophyllaceae",NA,6,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"April","July","Selfing, insects","BioFlor- 2018","Cerastium_arvense","Cerastium",0,FALSE,0,2,2,2,"I","Northern-Europe",1,NA,20.27469097,0.137264957,0.204586667,"se (selfing) [at failure of outcrossing] - in (insects) [the rule]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees","Forb","Chamaephyte",4,7,3,1,1,0,0,0,0,0,0,3,"insects",1,0,0
"Cerastium_glomeratum","Cerastium_glomeratum","Cerastium glomeratum","Cerastium_glomeratum","Caryophyllaceae",NA,3,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"March","September","Selfing","BioFlor- 2018","Cerastium_glomeratum","Cerastium",0,FALSE,0,1,0,2,"I","Northern-Europe",1,NA,24.11788222,0.183219355,0.0597428,"se (selfing) [the rule]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees","Forb","Cryptophyte",3,9,6,1,1,0,0,0,0,0,0,3,"selfing",0,0,0
"Cerastium_glutinosum","Cerastium_glutinosum","Cerastium glutinosum","Cerastium_kunthii","Caryophyllaceae",NA,6,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"March","May","Selfing, insects","BioFlor- 2018","Cerastium_glutinosum","Cerastium",0,FALSE,0,2,2,2,"I","Northern-Europe",1,NA,NA,0.1,NA,"se (selfing) [the rule] - in (insects) [rare]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees","Forb","Cryptophyte",3,5,2,1,1,0,0,0,0,0,0,2,"insects-selfing",1,0,0
"Cerastium_holosteoides","Cerastium_holosteoides","Cerastium holosteoides","Cerastium_fontanum_subsp._vulgare","Caryophyllaceae",NA,14,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"March","June","Selfing, insects","BioFlor- 2018","Cerastium_holosteoides","Cerastium",0,FALSE,0,5,4,5,"I","Northern-Europe",1,NA,28.02645938,0.25702381,0.1175,"se (selfing) [at failure of outcrossing] - in (insects) [the rule]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees","Forb","Chamaephyte",3,6,3,1,1,0,0,0,0,0,0,3,"insects",1,0,0
"Cerastium_semidecandrum","Cerastium_semidecandrum","Cerastium semidecandrum","Cerastium_semidecandrum","Caryophyllaceae",NA,50,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"March","May","Selfing, insects","BioFlor- 2018","Cerastium_semidecandrum","Cerastium",0,FALSE,0,16,16,18,"I","Northern-Europe",1,NA,17.96481978,0.074714716,0.038451905,"se (selfing) [always] - in (insects) [rare]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees","Forb","Cryptophyte",3,5,2,1,1,0,0,0,0,0,0,2,"insects-selfing",1,0,0
"Chenopodium_album","Chenopodium_album","Chenopodium album","Chenopodium_album","Chenopodiaceae","Chenopodioideae",1,2,1,2,1,1,1,1,1,1,"8%",1134,1,"Weber 2015; Gadermaier 2004","Major allergen in some areas (Saudi arabia...), but perhaps not in europe?",2,"July","October","Wind","BioFlor- 2018","Chenopodium_album","Chenopodium",1,TRUE,0,0,0,1,"I","Northern-Europe",1,NA,26.37154174,0.391736318,0.768285714,"wi (wind) [the rule]","Wb (wind flowers occassionally visited by insect)Typical pollinators: Short tongued bees, syrphids, flies, beetles","Forb","Therophyte",7,10,3,1,1,0,0,0,1,3,3,3,"wind",3,18,1
"Chondrilla_juncea","Chondrilla_juncea","Chondrilla juncea","Chondrilla_juncea","Asteraceae","Cichorioideae",15,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"July","September","Insects","BioFlor- 2018","Chondrilla_juncea","Chondrilla",0,FALSE,0,6,7,2,"I","Northern-Europe",1,NA,9.487571429,0.62825,0.4365,NA,"B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids","Forb","Cryptophyte",7,9,2,1,1,0,0,0,0,0,0,2,"insects",1,0,0
"Cirsium_arvense","Cirsium_arvense","Cirsium arvense","Cirsium_arvense","Asteraceae","Carduoideae",1,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"July","September","Insects","BioFlor- 2018","Cirsium_arvense","Cirsium",0,FALSE,0,1,0,0,"I","Northern-Europe",1,NA,17.72296396,0.660908207,1.202497222,"in (insects) [always]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids","Forb","Cryptophyte",7,9,2,1,1,0,0,0,0,0,0,2,"insects",1,0,0
"Cirsium_vulgare","Cirsium_vulgare","Cirsium vulgare","Cirsium_vulgare","Asteraceae","Carduoideae",1,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"June","September","Insects","BioFlor- 2018","Cirsium_vulgare","Cirsium",0,FALSE,0,1,0,0,"I","Northern-Europe",1,NA,15.57673524,1.042,2.662508974,"in (insects) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids","Forb","Cryptophyte",6,9,3,1,1,0,0,0,0,0,0,3,"insects",1,0,0
"Clematis_vitalba","Clematis_vitalba","Clematis vitalba","Clematis_vitalba","Ranunculaceae","Ranunculoideae",1,2,1,0,0,0,0,0,0,1,"",NA,0,"Hruska 2003","anecdotal evidence only; no further evidence; some reports of contact dermatitis",0,"June","August","Selfing, insects","BioFlor- 2018","Clematis_vitalba","Clematis",0,FALSE,0,0,0,1,"N","Europe",3,1957,27.86558384,11.28571429,2.16471828,"se (selfing) [at failure of outcrossing] - in (insects) [the rule]","PoDe (transition type pollen flowers - nasty flowers)Typical pollinators: short tounged bees, syrphids, muscids, beetles","Forb","Nanophanerophyte",6,8,2,0,0,1,1,0,0,0,0,2,"insects",1,0,0
"Convolvulus_arvensis","Convolvulus_arvensis","Convolvulus arvensis","Convolvulus_arvensis","Convolvulaceae",NA,16,2,1,0,0,0,0,0,0,1,"",NA,0,"Hruska 2003","anecdotal evidence only; one other mention in italian allergens (CIAMPOLINI E  & CRESTI M., 1981)",0,"June","September","Selfing, insects","BioFlor- 2018","Convolvulus_arvensis","Convolvulus",0,FALSE,0,5,5,6,"A","",2,NA,25.90256849,0.292757576,12.14674375,"se (selfing) [possible] - in (insects) [always]","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids","Forb","Cryptophyte",6,9,3,1,0,1,0,0,0,0,0,3,"insects",1,0,0
